time,in,out
2019-07-12 11:40:24,0,0
2019-07-12 11:40:23,0,0
2019-07-12 11:40:22,0,0
2019-07-12 11:40:21,0,0
2019-07-12 11:40:20,0,-6.666679
2019-07-12 11:40:19,0,-9.333321
2019-07-12 11:40:18,0,0
2019-07-12 11:40:17,0,0
2019-07-12 11:40:16,0,0
2019-07-12 11:40:15,0,0
2019-07-12 11:40:14,0,0
2019-07-12 11:40:13,0,0
2019-07-12 11:40:12,0,0
2019-07-12 11:40:11,0,0
2019-07-12 11:40:10,0,0
2019-07-12 11:40:09,0,0
2019-07-12 11:40:08,0,-8.777212
2019-07-12 11:40:07,0,-11.222788
2019-07-12 11:40:06,0,0
2019-07-12 11:40:05,0,0
2019-07-12 11:40:04,0,0
2019-07-12 11:40:03,0,-12.330823
2019-07-12 11:40:02,0,-15.669177
2019-07-12 11:40:01,0,0
2019-07-12 11:40:00,0,0
2019-07-12 11:39:59,0,0
2019-07-12 11:39:58,0,-12.259734
2019-07-12 11:39:57,0,-15.740266
2019-07-12 11:39:56,0,0
2019-07-12 11:39:55,0,0
2019-07-12 11:39:54,0,-5.250235
2019-07-12 11:39:53,0,-6.749765
2019-07-12 11:39:52,0,0
2019-07-12 11:39:51,0,0
2019-07-12 11:39:50,0,0
2019-07-12 11:39:49,0,0
2019-07-12 11:39:48,0,-1.754872
2019-07-12 11:39:47,0,-9.295679
2019-07-12 11:39:46,0,-8.949449
2019-07-12 11:39:45,0,0
2019-07-12 11:39:44,0,0
2019-07-12 11:39:43,0,0
2019-07-12 11:39:42,0,0
2019-07-12 11:39:41,0,0
2019-07-12 11:39:40,0,0
2019-07-12 11:39:39,0,0
2019-07-12 11:39:38,0,0
2019-07-12 11:39:37,0,-5.49899
2019-07-12 11:39:36,0,-6.50101
2019-07-12 11:39:35,0,0
2019-07-12 11:39:34,0,0
2019-07-12 11:39:33,0,0
2019-07-12 11:39:32,0,0
2019-07-12 11:39:31,0,0
2019-07-12 11:39:30,0,0
2019-07-12 11:39:29,0,0
2019-07-12 11:39:28,0,-9.22317
2019-07-12 11:39:27,0,-21.77562
2019-07-12 11:39:26,0,-13.001214
2019-07-12 11:39:25,0,0
2019-07-12 11:39:24,0,0
2019-07-12 11:39:23,0,-3.664547
2019-07-12 11:39:22,0,-4.335453
2019-07-12 11:39:21,0,0
2019-07-12 11:39:20,0,0
2019-07-12 11:39:19,0,0
2019-07-12 11:39:18,0,0
2019-07-12 11:39:17,0,-12.81335
2019-07-12 11:39:16,0,-15.18665
2019-07-12 11:39:15,0,0
