time,interrupts
2019-07-12 11:44:51,145.10763
2019-07-12 11:44:50,154.98768
2019-07-12 11:44:49,158.28061
2019-07-12 11:44:48,147.86404
2019-07-12 11:44:47,145.92665
2019-07-12 11:44:46,151.10115
2019-07-12 11:44:45,163.22327
2019-07-12 11:44:44,180.0655
2019-07-12 11:44:43,192.1285
2019-07-12 11:44:42,157.12152
2019-07-12 11:44:41,140.4301
2019-07-12 11:44:40,153.22552
2019-07-12 11:44:39,149.40016
2019-07-12 11:44:38,152.00455
2019-07-12 11:44:37,153.23795
2019-07-12 11:44:36,169.089
2019-07-12 11:44:35,146.03371
2019-07-12 11:44:34,137.00742
2019-07-12 11:44:33,140.06146
2019-07-12 11:44:32,157.73812
2019-07-12 11:44:31,148.00011
2019-07-12 11:44:30,143.5849
2019-07-12 11:44:29,152.80909
2019-07-12 11:44:28,161.34207
2019-07-12 11:44:27,202.9772
2019-07-12 11:44:26,247.7214
2019-07-12 11:44:25,150.58911
2019-07-12 11:44:24,145.07773
2019-07-12 11:44:23,146.06496
2019-07-12 11:44:22,140.25913
2019-07-12 11:44:21,135.77191
2019-07-12 11:44:20,149.96504
2019-07-12 11:44:19,158.2178
2019-07-12 11:44:18,154.11273
2019-07-12 11:44:17,169.698
2019-07-12 11:44:16,191.1522
2019-07-12 11:44:15,165.49465
2019-07-12 11:44:14,180.9546
2019-07-12 11:44:13,218.6953
2019-07-12 11:44:12,157.95215
2019-07-12 11:44:11,146.71341
2019-07-12 11:44:10,148.2748
2019-07-12 11:44:09,155.60809
2019-07-12 11:44:08,156.9176
2019-07-12 11:44:07,151.46611
2019-07-12 11:44:06,156.22867
2019-07-12 11:44:05,154.62838
2019-07-12 11:44:04,154.12707
2019-07-12 11:44:03,139.70697
2019-07-12 11:44:02,149.85334
2019-07-12 11:44:01,146.40486
2019-07-12 11:44:00,148.75679
2019-07-12 11:43:59,143.53172
2019-07-12 11:43:58,138.45311
2019-07-12 11:43:57,147.20202
2019-07-12 11:43:56,158.68836
2019-07-12 11:43:55,146.45655
2019-07-12 11:43:54,145.94858
2019-07-12 11:43:53,136.74155
2019-07-12 11:43:52,138.01929
2019-07-12 11:43:51,135.29303
2019-07-12 11:43:50,126.52943
2019-07-12 11:43:49,147.58578
2019-07-12 11:43:48,148.69955
2019-07-12 11:43:47,145.46615
2019-07-12 11:43:46,158.68446
2019-07-12 11:43:45,151.30946
2019-07-12 11:43:44,174.3926
2019-07-12 11:43:43,187.229
2019-07-12 11:43:42,155.16559
2019-07-12 11:43:41,153.61024
2019-07-12 11:43:40,170.4324
2019-07-12 11:43:39,160.03784
2019-07-12 11:43:38,233.4427
2019-07-12 11:43:37,300.0407
2019-07-12 11:43:36,206.9386
2019-07-12 11:43:35,291.078
2019-07-12 11:43:34,235.6099
2019-07-12 11:43:33,245.6199
2019-07-12 11:43:32,235.9412
2019-07-12 11:43:31,242.547
2019-07-12 11:43:30,231.3756
2019-07-12 11:43:29,240.4331
2019-07-12 11:43:28,237.3245
2019-07-12 11:43:27,274.082
2019-07-12 11:43:26,355.9344
2019-07-12 11:43:25,237.3702
2019-07-12 11:43:24,263.2387
2019-07-12 11:43:23,180.9239
2019-07-12 11:43:22,130.77041
2019-07-12 11:43:21,137.93968
2019-07-12 11:43:20,156.03681
2019-07-12 11:43:19,165.81097
2019-07-12 11:43:18,163.66229
2019-07-12 11:43:17,169.5385
2019-07-12 11:43:16,193.2086
2019-07-12 11:43:15,169.8951
2019-07-12 11:43:14,185.3329
2019-07-12 11:43:13,203.9023
2019-07-12 11:43:12,154.84523
2019-07-12 11:43:11,146.72035
2019-07-12 11:43:10,142.72045
2019-07-12 11:43:09,146.78854
2019-07-12 11:43:08,151.58719
2019-07-12 11:43:07,145.07617
2019-07-12 11:43:06,160.84014
2019-07-12 11:43:05,190.1466
2019-07-12 11:43:04,156.14585
2019-07-12 11:43:03,145.22564
2019-07-12 11:43:02,154.19399
2019-07-12 11:43:01,153.59435
2019-07-12 11:43:00,156.14488
2019-07-12 11:42:59,152.76188
2019-07-12 11:42:58,141.23302
2019-07-12 11:42:57,145.81692
2019-07-12 11:42:56,168.2754
2019-07-12 11:42:55,184.1267
2019-07-12 11:42:54,147.45415
2019-07-12 11:42:53,149.95069
2019-07-12 11:42:52,159.56768
2019-07-12 11:42:51,152.81275
2019-07-12 11:42:50,149.13745
2019-07-12 11:42:49,145.7138
2019-07-12 11:42:48,144.13864
2019-07-12 11:42:47,138.5777
2019-07-12 11:42:46,147.50891
2019-07-12 11:42:45,153.1162
2019-07-12 11:42:44,195.9731
2019-07-12 11:42:43,210.0809
2019-07-12 11:42:42,150.84151
2019-07-12 11:42:41,147.06237
2019-07-12 11:42:40,153.08184
2019-07-12 11:42:39,155.30156
2019-07-12 11:42:38,153.04699
2019-07-12 11:42:37,149.6895
2019-07-12 11:42:36,148.52868
2019-07-12 11:42:35,140.61333
2019-07-12 11:42:34,142.59321
2019-07-12 11:42:33,148.42297
2019-07-12 11:42:32,149.55419
2019-07-12 11:42:31,143.51615
2019-07-12 11:42:30,140.89146
2019-07-12 11:42:29,168.1713
2019-07-12 11:42:28,189.2505
2019-07-12 11:42:27,159.42085
2019-07-12 11:42:26,148.18998
2019-07-12 11:42:25,143.45172
2019-07-12 11:42:24,131.04961
2019-07-12 11:42:23,141.43645
2019-07-12 11:42:22,151.18386
2019-07-12 11:42:21,142.71731
2019-07-12 11:42:20,146.38351
2019-07-12 11:42:19,152.10746
2019-07-12 11:42:18,148.54705
2019-07-12 11:42:17,150.21671
2019-07-12 11:42:16,160.16179
2019-07-12 11:42:15,169.5245
2019-07-12 11:42:14,196.0506
2019-07-12 11:42:13,204.4668
2019-07-12 11:42:12,149.77052
2019-07-12 11:42:11,149.44854
2019-07-12 11:42:10,144.63842
2019-07-12 11:42:09,146.05421
2019-07-12 11:42:08,148.8623
2019-07-12 11:42:07,144.6138
2019-07-12 11:42:06,149.19719
2019-07-12 11:42:05,145.46744
2019-07-12 11:42:04,141.51864
2019-07-12 11:42:03,138.67856
2019-07-12 11:42:02,135.61375
2019-07-12 11:42:01,145.22743
2019-07-12 11:42:00,144.08505
2019-07-12 11:41:59,131.54378
2019-07-12 11:41:58,136.80653
2019-07-12 11:41:57,134.2332
2019-07-12 11:41:56,134.14411
2019-07-12 11:41:55,111.34274
2019-07-12 11:41:54,108.25726
2019-07-12 11:41:53,136.83244
2019-07-12 11:41:52,142.3782
2019-07-12 11:41:51,148.83525
2019-07-12 11:41:50,149.51809
2019-07-12 11:41:49,148.29889
2019-07-12 11:41:48,146.72895
2019-07-12 11:41:47,140.98391
2019-07-12 11:41:46,156.08145
2019-07-12 11:41:45,167.19264
2019-07-12 11:41:44,178.0043
2019-07-12 11:41:43,170.3534
2019-07-12 11:41:42,145.51598
2019-07-12 11:41:41,163.86072
2019-07-12 11:41:40,183.2825
2019-07-12 11:41:39,154.71826
2019-07-12 11:41:38,152.68844
2019-07-12 11:41:37,145.54616
2019-07-12 11:41:36,149.31797
2019-07-12 11:41:35,148.63846
2019-07-12 11:41:34,146.71755
2019-07-12 11:41:33,144.11394
2019-07-12 11:41:32,150.68082
2019-07-12 11:41:31,167.2885
2019-07-12 11:41:30,165.97903
2019-07-12 11:41:29,134.0703
2019-07-12 11:41:28,137.37074
2019-07-12 11:41:27,143.0482
2019-07-12 11:41:26,150.74407
2019-07-12 11:41:25,147.22033
2019-07-12 11:41:24,149.4251
2019-07-12 11:41:23,152.4675
2019-07-12 11:41:22,154.30173
2019-07-12 11:41:21,177.8509
2019-07-12 11:41:20,192.1571
2019-07-12 11:41:19,160.46417
2019-07-12 11:41:18,154.5638
2019-07-12 11:41:17,142.5098
2019-07-12 11:41:16,153.26628
2019-07-12 11:41:15,162.63139
2019-07-12 11:41:14,191.0833
2019-07-12 11:41:13,201.358
2019-07-12 11:41:12,152.36414
