time,uptime
2019-07-12 11:39:36,1138.001
2019-07-12 11:39:35,1137
2019-07-12 11:39:34,1136
2019-07-12 11:39:33,1135
2019-07-12 11:39:32,1134
2019-07-12 11:39:31,1133.008
2019-07-12 11:39:30,1132.002
2019-07-12 11:39:29,1131
2019-07-12 11:39:28,1130.001
2019-07-12 11:39:27,1129.007
2019-07-12 11:39:26,1128
2019-07-12 11:39:25,1127.002
2019-07-12 11:39:24,1126.002
2019-07-12 11:39:23,1125.001
2019-07-12 11:39:22,1124
2019-07-12 11:39:21,1123.001
2019-07-12 11:39:20,1122.002
2019-07-12 11:39:19,1121.01
2019-07-12 11:39:18,1120.002
2019-07-12 11:39:17,1119.004
2019-07-12 11:39:16,1118.001
2019-07-12 11:39:15,1117
2019-07-12 11:39:14,1116.002
2019-07-12 11:39:13,1115
2019-07-12 11:39:12,1114
2019-07-12 11:39:11,1113.006
2019-07-12 11:39:10,1112.001
2019-07-12 11:39:09,1111.006
2019-07-12 11:39:08,1110.004
2019-07-12 11:39:07,1109.001
2019-07-12 11:39:06,1108.004
2019-07-12 11:39:05,1107.011
2019-07-12 11:39:04,1106
2019-07-12 11:39:03,1105.006
2019-07-12 11:39:02,1104
2019-07-12 11:39:01,1103.003
2019-07-12 11:39:00,1102.001
2019-07-12 11:38:59,1101
2019-07-12 11:38:58,1100.002
2019-07-12 11:38:57,1099
2019-07-12 11:38:56,1098
2019-07-12 11:38:55,1097.001
2019-07-12 11:38:54,1096.001
2019-07-12 11:38:53,1095
2019-07-12 11:38:52,1094.007
2019-07-12 11:38:51,1093.001
2019-07-12 11:38:50,1092.005
2019-07-12 11:38:49,1091.002
2019-07-12 11:38:48,1090.007
2019-07-12 11:38:47,1089.002
2019-07-12 11:38:46,1088.005
2019-07-12 11:38:45,1087.001
2019-07-12 11:38:44,1086
2019-07-12 11:38:43,1085.001
2019-07-12 11:38:42,1084
2019-07-12 11:38:41,1083.002
2019-07-12 11:38:40,1082.002
2019-07-12 11:38:39,1081
2019-07-12 11:38:38,1080
2019-07-12 11:38:37,1079.001
2019-07-12 11:38:36,1078.006
2019-07-12 11:38:35,1077.001
2019-07-12 11:38:34,1076.002
2019-07-12 11:38:33,1075.001
2019-07-12 11:38:32,1074
2019-07-12 11:38:31,1073.001
2019-07-12 11:38:30,1072
2019-07-12 11:38:29,1071.002
2019-07-12 11:38:28,1070.007
2019-07-12 11:38:27,1069.004
2019-07-12 11:38:26,1068.002
2019-07-12 11:38:25,1067
2019-07-12 11:38:24,1066.002
