time,avail
2019-07-12 11:46:37,1537.5312
2019-07-12 11:46:36,1537.6523
2019-07-12 11:46:35,1537.6523
2019-07-12 11:46:34,1537.6523
2019-07-12 11:46:33,1537.6523
2019-07-12 11:46:32,1537.6523
2019-07-12 11:46:31,1537.5312
2019-07-12 11:46:30,1537.5312
2019-07-12 11:46:29,1537.5312
2019-07-12 11:46:28,1537.5312
2019-07-12 11:46:27,1537.5352
2019-07-12 11:46:26,1537.5352
2019-07-12 11:46:25,1537.4141
2019-07-12 11:46:24,1537.5273
2019-07-12 11:46:23,1537.5273
2019-07-12 11:46:22,1537.5273
2019-07-12 11:46:21,1537.5273
2019-07-12 11:46:20,1537.5273
2019-07-12 11:46:19,1537.5273
2019-07-12 11:46:18,1537.5273
2019-07-12 11:46:17,1537.5273
2019-07-12 11:46:16,1537.5273
2019-07-12 11:46:15,1537.4883
2019-07-12 11:46:14,1537.4062
2019-07-12 11:46:13,1537.4062
2019-07-12 11:46:12,1537.4062
2019-07-12 11:46:11,1537.5156
2019-07-12 11:46:10,1537.5156
2019-07-12 11:46:09,1537.5156
2019-07-12 11:46:08,1537.5156
2019-07-12 11:46:07,1537.5156
2019-07-12 11:46:06,1537.5156
2019-07-12 11:46:05,1537.5156
2019-07-12 11:46:04,1537.5156
2019-07-12 11:46:03,1537.6523
2019-07-12 11:46:02,1537.7305
2019-07-12 11:46:01,1537.7305
2019-07-12 11:46:00,1537.7305
2019-07-12 11:45:59,1537.7305
2019-07-12 11:45:58,1537.6094
2019-07-12 11:45:57,1537.6094
2019-07-12 11:45:56,1537.7305
2019-07-12 11:45:55,1537.7305
2019-07-12 11:45:54,1537.7305
2019-07-12 11:45:53,1537.7305
2019-07-12 11:45:52,1537.7305
2019-07-12 11:45:51,1537.7305
2019-07-12 11:45:50,1537.7344
2019-07-12 11:45:49,1537.7344
2019-07-12 11:45:48,1537.7344
2019-07-12 11:45:47,1537.7344
2019-07-12 11:45:46,1537.7344
2019-07-12 11:45:45,1537.7344
2019-07-12 11:45:44,1537.7344
2019-07-12 11:45:43,1537.7344
2019-07-12 11:45:42,1537.7031
2019-07-12 11:45:41,1537.6953
2019-07-12 11:45:40,1537.6953
2019-07-12 11:45:39,1537.6406
2019-07-12 11:45:38,1537.5586
2019-07-12 11:45:37,1537.6797
2019-07-12 11:45:36,1537.6797
2019-07-12 11:45:35,1537.6797
2019-07-12 11:45:34,1537.6797
2019-07-12 11:45:33,1537.6797
2019-07-12 11:45:32,1537.6797
2019-07-12 11:45:31,1537.6758
2019-07-12 11:45:30,1537.7969
2019-07-12 11:45:29,1537.7969
2019-07-12 11:45:28,1537.7969
2019-07-12 11:45:27,1537.7969
2019-07-12 11:45:26,1537.7969
2019-07-12 11:45:25,1537.7969
2019-07-12 11:45:24,1537.6758
2019-07-12 11:45:23,1537.6758
2019-07-12 11:45:22,1537.6758
2019-07-12 11:45:21,1537.6758
2019-07-12 11:45:20,1537.6758
2019-07-12 11:45:19,1537.6758
2019-07-12 11:45:18,1537.6758
2019-07-12 11:45:17,1537.6758
2019-07-12 11:45:16,1537.6758
2019-07-12 11:45:15,1537.6758
2019-07-12 11:45:14,1537.6758
2019-07-12 11:45:13,1537.6758
2019-07-12 11:45:12,1537.6289
2019-07-12 11:45:11,1537.668
2019-07-12 11:45:10,1537.668
2019-07-12 11:45:09,1537.668
2019-07-12 11:45:08,1537.6406
2019-07-12 11:45:07,1537.6406
