time,switches
2019-07-12 11:42:18,292.8342
2019-07-12 11:42:17,296.2998
2019-07-12 11:42:16,326.7279
2019-07-12 11:42:15,360.0464
2019-07-12 11:42:14,408.501
2019-07-12 11:42:13,435.4671
2019-07-12 11:42:12,316.8613
2019-07-12 11:42:11,310.5035
2019-07-12 11:42:10,308.2382
2019-07-12 11:42:09,290.4018
2019-07-12 11:42:08,295.6228
2019-07-12 11:42:07,301.3935
2019-07-12 11:42:06,306.2508
2019-07-12 11:42:05,297.8826
2019-07-12 11:42:04,296.8389
2019-07-12 11:42:03,298.6433
2019-07-12 11:42:02,296.7161
2019-07-12 11:42:01,306.6789
2019-07-12 11:42:00,307.8983
2019-07-12 11:41:59,284.5283
2019-07-12 11:41:58,288.5927
2019-07-12 11:41:57,285.7175
2019-07-12 11:41:56,292.2037
2019-07-12 11:41:55,247.9837
2019-07-12 11:41:54,227.8693
2019-07-12 11:41:53,286.2986
2019-07-12 11:41:52,293.758
2019-07-12 11:41:51,309.8181
2019-07-12 11:41:50,316.8287
2019-07-12 11:41:49,308.5208
2019-07-12 11:41:48,305.8504
2019-07-12 11:41:47,306.4585
2019-07-12 11:41:46,327.7855
2019-07-12 11:41:45,354.5108
2019-07-12 11:41:44,384.1079
2019-07-12 11:41:43,373.301
2019-07-12 11:41:42,321.1609
2019-07-12 11:41:41,351.5801
2019-07-12 11:41:40,391.2975
2019-07-12 11:41:39,323.6744
2019-07-12 11:41:38,322.353
2019-07-12 11:41:37,300.6501
2019-07-12 11:41:36,311.2982
2019-07-12 11:41:35,315.8223
2019-07-12 11:41:34,305.9033
2019-07-12 11:41:33,317.9223
2019-07-12 11:41:32,331.0281
2019-07-12 11:41:31,356.1164
2019-07-12 11:41:30,362.3255
2019-07-12 11:41:29,288.2326
2019-07-12 11:41:28,290.9966
2019-07-12 11:41:27,294.1609
2019-07-12 11:41:26,301.3716
2019-07-12 11:41:25,308.0233
2019-07-12 11:41:24,302.8032
2019-07-12 11:41:23,305.1796
2019-07-12 11:41:22,307.3301
2019-07-12 11:41:21,343.5209
