time,reads,writes
2019-07-12 11:43:56,0,0
2019-07-12 11:43:55,0,0
2019-07-12 11:43:54,0,0
2019-07-12 11:43:53,0,0
2019-07-12 11:43:52,0,0
2019-07-12 11:43:51,0,0
2019-07-12 11:43:50,0,-0.6246969
2019-07-12 11:43:49,0,-1.3753031
2019-07-12 11:43:48,0,0
2019-07-12 11:43:47,0,0
2019-07-12 11:43:46,0,0
2019-07-12 11:43:45,0,0
2019-07-12 11:43:44,0,0
2019-07-12 11:43:43,0,0
2019-07-12 11:43:42,0,0
2019-07-12 11:43:41,0,-0.6680026
2019-07-12 11:43:40,0,-1.3319974
2019-07-12 11:43:39,0,0
2019-07-12 11:43:38,0,0
2019-07-12 11:43:37,0,0
2019-07-12 11:43:36,0,0
2019-07-12 11:43:35,0,-1.3725671
2019-07-12 11:43:34,0,-2.627433
2019-07-12 11:43:33,0,0
2019-07-12 11:43:32,0,0
2019-07-12 11:43:31,0,0
2019-07-12 11:43:30,0,-0.3330349
2019-07-12 11:43:29,0,-1.3540193
2019-07-12 11:43:28,0,-1.3129458
2019-07-12 11:43:27,0,0
2019-07-12 11:43:26,0,0
2019-07-12 11:43:25,0,0
2019-07-12 11:43:24,0,0
2019-07-12 11:43:23,0,0
2019-07-12 11:43:22,0,0
2019-07-12 11:43:21,0,0
2019-07-12 11:43:20,0,-1.3304768
2019-07-12 11:43:19,0,-2.669523
2019-07-12 11:43:18,0,0
2019-07-12 11:43:17,0,0
2019-07-12 11:43:16,0,0
2019-07-12 11:43:15,0,0
2019-07-12 11:43:14,0,0
2019-07-12 11:43:13,0,0
2019-07-12 11:43:12,0,-0.7090108
2019-07-12 11:43:11,0,-1.2909892
2019-07-12 11:43:10,0,0
2019-07-12 11:43:09,0,0
2019-07-12 11:43:08,0,0
2019-07-12 11:43:07,0,0
2019-07-12 11:43:06,0,0
2019-07-12 11:43:05,0,0
2019-07-12 11:43:04,0,0
2019-07-12 11:43:03,0,0
2019-07-12 11:43:02,0,-0.7091847
2019-07-12 11:43:01,0,-1.2908153
2019-07-12 11:43:00,0,0
2019-07-12 11:42:59,0,0
2019-07-12 11:42:58,0,0
2019-07-12 11:42:57,0,0
2019-07-12 11:42:56,0,0
2019-07-12 11:42:55,0,0
2019-07-12 11:42:54,0,0
2019-07-12 11:42:53,0,0
2019-07-12 11:42:52,0,0
2019-07-12 11:42:51,0,0
