time,running,blocked
2019-07-12 11:46:58,3,0
2019-07-12 11:46:57,2,0
2019-07-12 11:46:56,2,0
2019-07-12 11:46:55,5,0
2019-07-12 11:46:54,4,0
2019-07-12 11:46:53,4,0
2019-07-12 11:46:52,3,0
2019-07-12 11:46:51,3,0
2019-07-12 11:46:50,4,0
2019-07-12 11:46:49,5,0
2019-07-12 11:46:48,6,0
2019-07-12 11:46:47,3,0
2019-07-12 11:46:46,3,0
2019-07-12 11:46:45,5,0
2019-07-12 11:46:44,8,0
2019-07-12 11:46:43,2,0
2019-07-12 11:46:42,3,0
2019-07-12 11:46:41,4,0
2019-07-12 11:46:40,5,0
2019-07-12 11:46:39,3,0
2019-07-12 11:46:38,4,0
2019-07-12 11:46:37,3,0
2019-07-12 11:46:36,3,0
2019-07-12 11:46:35,4,0
2019-07-12 11:46:34,4,0
2019-07-12 11:46:33,3,0
2019-07-12 11:46:32,5,0
2019-07-12 11:46:31,3,0
2019-07-12 11:46:30,5,0
2019-07-12 11:46:29,3,0
2019-07-12 11:46:28,4,0
2019-07-12 11:46:27,4,0
2019-07-12 11:46:26,3,0
2019-07-12 11:46:25,5,0
2019-07-12 11:46:24,3,0
2019-07-12 11:46:23,4,0
2019-07-12 11:46:22,3,0
2019-07-12 11:46:21,3,0
2019-07-12 11:46:20,4,0
2019-07-12 11:46:19,4,0
2019-07-12 11:46:18,3,0
2019-07-12 11:46:17,5,0
2019-07-12 11:46:16,4,0
2019-07-12 11:46:15,4,0
2019-07-12 11:46:14,4,0
2019-07-12 11:46:13,6,0
2019-07-12 11:46:12,4,0
2019-07-12 11:46:11,5,0
2019-07-12 11:46:10,4,0
2019-07-12 11:46:09,4,0
2019-07-12 11:46:08,4,0
2019-07-12 11:46:07,3,0
2019-07-12 11:46:06,5,0
2019-07-12 11:46:05,4,0
2019-07-12 11:46:04,10,0
2019-07-12 11:46:03,5,0
2019-07-12 11:46:02,5,0
2019-07-12 11:46:01,4,0
2019-07-12 11:46:00,5,0
2019-07-12 11:45:59,3,0
2019-07-12 11:45:58,5,0
2019-07-12 11:45:57,2,0
2019-07-12 11:45:56,5,0
2019-07-12 11:45:55,4,0
2019-07-12 11:45:54,5,0
2019-07-12 11:45:53,3,0
2019-07-12 11:45:52,5,0
2019-07-12 11:45:51,2,0
2019-07-12 11:45:50,4,0
2019-07-12 11:45:49,5,0
2019-07-12 11:45:48,4,0
2019-07-12 11:45:47,5,0
2019-07-12 11:45:46,3,0
2019-07-12 11:45:45,4,0
2019-07-12 11:45:44,5,0
2019-07-12 11:45:43,3,0
2019-07-12 11:45:42,3,0
2019-07-12 11:45:41,5,0
2019-07-12 11:45:40,2,0
2019-07-12 11:45:39,3,0
2019-07-12 11:45:38,4,0
2019-07-12 11:45:37,4,0
2019-07-12 11:45:36,4,0
2019-07-12 11:45:35,4,0
2019-07-12 11:45:34,3,0
2019-07-12 11:45:33,4,0
2019-07-12 11:45:32,4,0
2019-07-12 11:45:31,3,0
2019-07-12 11:45:30,2,0
2019-07-12 11:45:29,4,0
2019-07-12 11:45:28,3,0
2019-07-12 11:45:27,3,0
2019-07-12 11:45:26,4,0
2019-07-12 11:45:25,4,0
2019-07-12 11:45:24,4,0
2019-07-12 11:45:23,3,0
2019-07-12 11:45:22,4,0
2019-07-12 11:45:21,4,0
2019-07-12 11:45:20,2,0
2019-07-12 11:45:19,4,0
2019-07-12 11:45:18,4,0
2019-07-12 11:45:17,3,0
2019-07-12 11:45:16,5,0
2019-07-12 11:45:15,2,0
2019-07-12 11:45:14,3,0
2019-07-12 11:45:13,3,0
2019-07-12 11:45:12,4,0
2019-07-12 11:45:11,3,0
2019-07-12 11:45:10,3,0
2019-07-12 11:45:09,3,0
2019-07-12 11:45:08,4,0
2019-07-12 11:45:07,3,0
2019-07-12 11:45:06,4,0
2019-07-12 11:45:05,7,0
2019-07-12 11:45:04,4,0
2019-07-12 11:45:03,3,0
2019-07-12 11:45:02,4,0
2019-07-12 11:45:01,4,0
2019-07-12 11:45:00,4,0
2019-07-12 11:44:59,5,0
2019-07-12 11:44:58,2,0
2019-07-12 11:44:57,4,0
2019-07-12 11:44:56,3,0
2019-07-12 11:44:55,5,0
2019-07-12 11:44:54,4,0
2019-07-12 11:44:53,4,0
2019-07-12 11:44:52,4,0
2019-07-12 11:44:51,3,0
2019-07-12 11:44:50,3,0
2019-07-12 11:44:49,4,0
2019-07-12 11:44:48,3,0
2019-07-12 11:44:47,4,0
2019-07-12 11:44:46,5,0
2019-07-12 11:44:45,2,0
2019-07-12 11:44:44,5,0
