time,free,used,cached,buffers
2019-07-12 11:38:30,273.7773,301.8906,1410.5547,12.835938
2019-07-12 11:38:29,273.7773,301.8906,1410.5547,12.835938
2019-07-12 11:38:28,273.7773,301.8906,1410.5547,12.835938
2019-07-12 11:38:27,273.7773,301.8906,1410.5547,12.835938
2019-07-12 11:38:26,273.8984,301.7695,1410.5547,12.835938
2019-07-12 11:38:25,273.7773,301.8906,1410.5547,12.835938
2019-07-12 11:38:24,273.7773,301.8906,1410.5547,12.835938
2019-07-12 11:38:23,273.7773,301.8906,1410.5547,12.835938
2019-07-12 11:38:22,273.7773,301.8906,1410.5547,12.835938
2019-07-12 11:38:21,273.7773,301.8906,1410.5547,12.835938
2019-07-12 11:38:20,273.7773,301.8867,1410.5586,12.835938
2019-07-12 11:38:19,273.7773,301.8867,1410.5586,12.835938
2019-07-12 11:38:18,273.7773,301.8945,1410.5508,12.835938
2019-07-12 11:38:17,273.7773,301.8945,1410.5586,12.828125
2019-07-12 11:38:16,273.7773,301.8945,1410.5586,12.828125
2019-07-12 11:38:15,273.7773,301.8945,1410.5586,12.828125
2019-07-12 11:38:14,273.7773,301.8945,1410.5586,12.828125
2019-07-12 11:38:13,273.7773,301.8945,1410.5586,12.828125
2019-07-12 11:38:12,273.7773,301.8945,1410.5586,12.828125
2019-07-12 11:38:11,273.7773,301.9023,1410.5586,12.820312
2019-07-12 11:38:10,273.7773,301.9023,1410.5586,12.820312
2019-07-12 11:38:09,273.7773,301.9023,1410.5586,12.820312
2019-07-12 11:38:08,273.7773,301.9023,1410.5586,12.820312
2019-07-12 11:38:07,273.7773,301.9023,1410.5586,12.820312
2019-07-12 11:38:06,273.7773,301.9023,1410.5586,12.820312
2019-07-12 11:38:05,273.7773,301.9023,1410.5586,12.820312
2019-07-12 11:38:04,273.7773,301.9102,1410.5508,12.820312
2019-07-12 11:38:03,273.7773,301.9102,1410.5586,12.8125
2019-07-12 11:38:02,273.7773,301.9102,1410.5586,12.8125
2019-07-12 11:38:01,273.8984,301.7891,1410.5586,12.8125
2019-07-12 11:38:00,273.8984,301.7891,1410.5586,12.8125
2019-07-12 11:37:59,273.7773,301.9102,1410.5586,12.8125
2019-07-12 11:37:58,273.7773,301.9102,1410.5586,12.8125
2019-07-12 11:37:57,273.7773,301.9102,1410.5586,12.8125
2019-07-12 11:37:56,273.7773,301.9102,1410.5586,12.8125
2019-07-12 11:37:55,273.7773,301.9102,1410.5586,12.8125
2019-07-12 11:37:54,273.7773,301.9102,1410.5586,12.8125
2019-07-12 11:37:53,273.7773,301.9102,1410.5586,12.8125
2019-07-12 11:37:52,273.7773,301.9102,1410.5586,12.8125
2019-07-12 11:37:51,273.7773,301.9102,1410.5586,12.8125
2019-07-12 11:37:50,273.7773,301.9102,1410.5586,12.8125
2019-07-12 11:37:49,273.7773,301.9102,1410.5586,12.8125
2019-07-12 11:37:48,273.7773,301.9102,1410.5586,12.8125
2019-07-12 11:37:47,273.7773,301.9219,1410.5547,12.804688
2019-07-12 11:37:46,273.7773,301.9219,1410.5547,12.804688
2019-07-12 11:37:45,273.7773,301.9219,1410.5547,12.804688
2019-07-12 11:37:44,273.7773,301.9219,1410.5547,12.804688
2019-07-12 11:37:43,273.7773,301.9258,1410.5508,12.804688
2019-07-12 11:37:42,273.7773,301.9219,1410.5547,12.804688
2019-07-12 11:37:41,273.7773,301.9297,1410.5547,12.796875
2019-07-12 11:37:40,273.7773,301.9297,1410.5547,12.796875
2019-07-12 11:37:39,273.7773,301.9258,1410.5586,12.796875
2019-07-12 11:37:38,273.7773,301.9258,1410.5586,12.796875
2019-07-12 11:37:37,273.7773,301.9258,1410.5586,12.796875
2019-07-12 11:37:36,273.7773,301.9258,1410.5586,12.796875
2019-07-12 11:37:35,273.7773,301.9258,1410.5586,12.796875
2019-07-12 11:37:34,273.7773,301.9258,1410.5586,12.796875
2019-07-12 11:37:33,273.7773,301.9258,1410.5586,12.796875
2019-07-12 11:37:32,273.7773,301.9336,1410.5508,12.796875
2019-07-12 11:37:31,273.7773,301.9336,1410.5586,12.789062
2019-07-12 11:37:30,273.7773,301.9336,1410.5586,12.789062
2019-07-12 11:37:29,273.7773,301.9336,1410.5586,12.789062
2019-07-12 11:37:28,273.7773,301.9336,1410.5586,12.789062
2019-07-12 11:37:27,273.7773,301.9336,1410.5586,12.789062
2019-07-12 11:37:26,273.8984,301.8125,1410.5586,12.789062
2019-07-12 11:37:25,273.8984,301.8164,1410.5547,12.789062
2019-07-12 11:37:24,273.8984,301.8164,1410.5547,12.789062
2019-07-12 11:37:23,273.8984,301.8164,1410.5547,12.789062
2019-07-12 11:37:22,273.8984,301.8164,1410.5547,12.789062
2019-07-12 11:37:21,273.8984,301.8164,1410.5547,12.789062
2019-07-12 11:37:20,273.8984,301.8242,1410.5469,12.789062
2019-07-12 11:37:19,273.8984,301.8242,1410.5469,12.789062
2019-07-12 11:37:18,273.8984,301.8242,1410.5547,12.78125
2019-07-12 11:37:17,273.8984,301.8242,1410.5547,12.78125
2019-07-12 11:37:16,273.8984,301.8242,1410.5547,12.78125
2019-07-12 11:37:15,273.8984,301.8242,1410.5547,12.78125
2019-07-12 11:37:14,273.8984,301.8242,1410.5547,12.78125
2019-07-12 11:37:13,273.8984,301.8242,1410.5547,12.78125
2019-07-12 11:37:12,273.7773,301.9453,1410.5547,12.78125
2019-07-12 11:37:11,273.7773,301.9531,1410.5547,12.773438
2019-07-12 11:37:10,273.7773,301.9531,1410.5547,12.773438
2019-07-12 11:37:09,273.7773,301.9531,1410.5547,12.773438
2019-07-12 11:37:08,273.7773,301.9531,1410.5547,12.773438
2019-07-12 11:37:07,273.7773,301.9531,1410.5547,12.773438
2019-07-12 11:37:06,273.7773,301.9531,1410.5547,12.773438
2019-07-12 11:37:05,273.7773,301.957,1410.5508,12.773438
2019-07-12 11:37:04,273.7773,301.957,1410.5508,12.773438
2019-07-12 11:37:03,273.7773,301.957,1410.5508,12.773438
2019-07-12 11:37:02,273.7773,301.957,1410.5508,12.773438
2019-07-12 11:37:01,273.7773,301.957,1410.5586,12.765625
2019-07-12 11:37:00,273.7773,301.957,1410.5586,12.765625
2019-07-12 11:36:59,273.7773,301.957,1410.5586,12.765625
2019-07-12 11:36:58,273.7773,301.957,1410.5586,12.765625
2019-07-12 11:36:57,273.7773,301.957,1410.5586,12.765625
2019-07-12 11:36:56,273.7773,301.957,1410.5586,12.765625
2019-07-12 11:36:55,273.7773,301.9609,1410.5547,12.765625
2019-07-12 11:36:54,273.7773,301.9609,1410.5586,12.761719
2019-07-12 11:36:53,273.7773,301.9609,1410.5586,12.761719
2019-07-12 11:36:52,273.7773,301.9609,1410.5586,12.761719
2019-07-12 11:36:51,273.7773,301.9609,1410.5586,12.761719
2019-07-12 11:36:50,273.7773,301.9609,1410.5586,12.761719
2019-07-12 11:36:49,273.7773,301.9688,1410.5508,12.761719
2019-07-12 11:36:48,273.7773,301.9688,1410.5586,12.753906
2019-07-12 11:36:47,273.7773,301.9688,1410.5586,12.753906
2019-07-12 11:36:46,273.7773,301.9688,1410.5586,12.753906
2019-07-12 11:36:45,274.0195,301.7266,1410.5586,12.753906
2019-07-12 11:36:44,274.0195,301.7266,1410.5586,12.753906
2019-07-12 11:36:43,274.0195,301.7305,1410.5547,12.753906
2019-07-12 11:36:42,274.0703,301.6875,1410.5469,12.753906
2019-07-12 11:36:41,273.9883,301.7695,1410.5547,12.746094
2019-07-12 11:36:40,273.9883,301.7695,1410.5547,12.746094
2019-07-12 11:36:39,273.9883,301.7695,1410.5547,12.746094
2019-07-12 11:36:38,273.9883,301.7695,1410.5547,12.746094
2019-07-12 11:36:37,273.9883,301.7695,1410.5547,12.746094
2019-07-12 11:36:36,273.9883,301.7695,1410.5547,12.746094
2019-07-12 11:36:35,273.9883,301.7695,1410.5547,12.746094
2019-07-12 11:36:34,273.9883,301.7695,1410.5547,12.746094
2019-07-12 11:36:33,273.9883,301.7695,1410.5547,12.746094
2019-07-12 11:36:32,273.9883,301.7695,1410.5547,12.746094
2019-07-12 11:36:31,273.9883,301.7695,1410.5625,12.738281
2019-07-12 11:36:30,273.9883,301.7695,1410.5625,12.738281
2019-07-12 11:36:29,273.9883,301.7695,1410.5625,12.738281
2019-07-12 11:36:28,273.9883,301.7695,1410.5625,12.738281
2019-07-12 11:36:27,273.9883,301.7695,1410.5625,12.738281
2019-07-12 11:36:26,273.9883,301.7695,1410.5625,12.738281
2019-07-12 11:36:25,273.9883,301.7695,1410.5625,12.738281
2019-07-12 11:36:24,273.9883,301.7695,1410.5625,12.738281
2019-07-12 11:36:23,273.9883,301.7695,1410.5625,12.738281
2019-07-12 11:36:22,273.9883,301.7695,1410.5625,12.738281
2019-07-12 11:36:21,273.9883,301.7695,1410.5625,12.738281
2019-07-12 11:36:20,273.9883,301.7695,1410.5625,12.738281
2019-07-12 11:36:19,273.9492,301.8242,1410.5469,12.738281
2019-07-12 11:36:18,273.8672,301.9062,1410.5547,12.730469
2019-07-12 11:36:17,273.8672,301.9062,1410.5547,12.730469
2019-07-12 11:36:16,273.8672,301.9062,1410.5547,12.730469
2019-07-12 11:36:15,273.8672,301.9062,1410.5547,12.730469
2019-07-12 11:36:14,273.7461,302.0273,1410.5547,12.730469
2019-07-12 11:36:13,267.8125,307.9609,1410.5547,12.730469
2019-07-12 11:36:12,267.8125,307.9609,1410.5547,12.730469
2019-07-12 11:36:11,267.8125,307.9688,1410.5469,12.730469
2019-07-12 11:36:10,267.8125,307.9766,1410.5469,12.722656
2019-07-12 11:36:09,267.8125,307.9766,1410.5469,12.722656
2019-07-12 11:36:08,267.8125,307.9766,1410.5469,12.722656
2019-07-12 11:36:07,267.8125,307.9766,1410.5469,12.722656
2019-07-12 11:36:06,267.8125,307.9805,1410.543,12.722656
2019-07-12 11:36:05,267.8125,307.9805,1410.543,12.722656
2019-07-12 11:36:04,267.8125,307.9805,1410.543,12.722656
2019-07-12 11:36:03,267.8125,307.9805,1410.543,12.722656
2019-07-12 11:36:02,267.8125,307.9805,1410.543,12.722656
2019-07-12 11:36:01,267.8125,307.9805,1410.543,12.722656
2019-07-12 11:36:00,267.8125,307.9805,1410.5508,12.714844
2019-07-12 11:35:59,267.8125,307.9805,1410.5508,12.714844
2019-07-12 11:35:58,267.8125,307.9805,1410.5508,12.714844
2019-07-12 11:35:57,267.6914,308.0977,1410.5547,12.714844
2019-07-12 11:35:56,267.6914,308.0977,1410.5547,12.714844
2019-07-12 11:35:55,267.6914,308.1016,1410.5508,12.714844
2019-07-12 11:35:54,267.6914,308.1016,1410.5508,12.714844
2019-07-12 11:35:53,267.6914,308.0977,1410.5547,12.714844
2019-07-12 11:35:52,267.6914,308.0977,1410.5547,12.714844
2019-07-12 11:35:51,267.6914,308.0977,1410.5547,12.714844
2019-07-12 11:35:50,267.6914,308.0977,1410.5547,12.714844
2019-07-12 11:35:49,267.6914,308.0977,1410.5547,12.714844
2019-07-12 11:35:48,267.6914,308.1055,1410.5547,12.707031
2019-07-12 11:35:47,267.8125,307.9844,1410.5547,12.707031
2019-07-12 11:35:46,267.8125,307.9844,1410.5547,12.707031
2019-07-12 11:35:45,267.8125,307.9844,1410.5547,12.707031
2019-07-12 11:35:44,267.6914,308.1055,1410.5547,12.707031
2019-07-12 11:35:43,267.6914,308.1094,1410.5508,12.707031
2019-07-12 11:35:42,267.5703,308.2305,1410.5508,12.707031
2019-07-12 11:35:41,267.5703,308.2305,1410.5508,12.707031
2019-07-12 11:35:40,267.5703,308.2422,1410.5469,12.699219
2019-07-12 11:35:39,267.5703,308.2422,1410.5469,12.699219
2019-07-12 11:35:38,267.5703,308.2422,1410.5469,12.699219
2019-07-12 11:35:37,267.5703,308.2422,1410.5469,12.699219
2019-07-12 11:35:36,267.5703,308.2422,1410.5469,12.699219
2019-07-12 11:35:35,267.5703,308.2422,1410.5469,12.699219
2019-07-12 11:35:34,267.5703,308.2461,1410.543,12.699219
2019-07-12 11:35:33,267.5703,308.2461,1410.543,12.699219
2019-07-12 11:35:32,267.5703,308.2461,1410.543,12.699219
2019-07-12 11:35:31,267.5703,308.2461,1410.543,12.699219
2019-07-12 11:35:30,267.5703,308.25,1410.5391,12.699219
2019-07-12 11:35:29,267.5703,308.25,1410.5391,12.699219
2019-07-12 11:35:28,267.5703,308.25,1410.5469,12.691406
2019-07-12 11:35:27,267.5703,308.25,1410.5469,12.691406
2019-07-12 11:35:26,267.5703,308.25,1410.5469,12.691406
2019-07-12 11:35:25,267.5703,308.2461,1410.5508,12.691406
2019-07-12 11:35:24,267.5703,308.2461,1410.5508,12.691406
2019-07-12 11:35:23,267.5703,308.2461,1410.5508,12.691406
2019-07-12 11:35:22,267.5703,308.2461,1410.5508,12.691406
2019-07-12 11:35:21,267.5703,308.2461,1410.5508,12.691406
2019-07-12 11:35:20,267.5703,308.2461,1410.5508,12.691406
2019-07-12 11:35:19,267.5703,308.2461,1410.5508,12.691406
2019-07-12 11:35:18,267.5703,308.2461,1410.5508,12.691406
2019-07-12 11:35:17,267.5703,308.2461,1410.5508,12.691406
2019-07-12 11:35:16,267.5703,308.2461,1410.5508,12.691406
2019-07-12 11:35:15,267.5703,308.2461,1410.5508,12.691406
2019-07-12 11:35:14,267.5703,308.2461,1410.5508,12.691406
2019-07-12 11:35:13,267.5703,308.2539,1410.5508,12.683594
2019-07-12 11:35:12,267.4492,308.375,1410.5508,12.683594
2019-07-12 11:35:11,267.5703,308.2539,1410.5508,12.683594
2019-07-12 11:35:10,267.5703,308.2539,1410.5508,12.683594
2019-07-12 11:35:09,267.5703,308.2539,1410.5508,12.683594
2019-07-12 11:35:08,267.5703,308.2539,1410.5508,12.683594
2019-07-12 11:35:07,267.5703,308.2578,1410.5469,12.683594
2019-07-12 11:35:06,267.5703,308.2578,1410.5469,12.683594
2019-07-12 11:35:05,267.5703,308.2539,1410.5508,12.683594
2019-07-12 11:35:04,267.5703,308.2539,1410.5508,12.683594
2019-07-12 11:35:03,267.5703,308.2617,1410.543,12.683594
2019-07-12 11:35:02,267.5703,308.2617,1410.543,12.683594
2019-07-12 11:35:01,267.6914,308.1406,1410.5508,12.675781
2019-07-12 11:35:00,267.6914,308.1406,1410.5508,12.675781
2019-07-12 11:34:59,267.6914,308.1406,1410.5508,12.675781
2019-07-12 11:34:58,267.6914,308.1406,1410.5508,12.675781
2019-07-12 11:34:57,267.5703,308.2617,1410.5508,12.675781
2019-07-12 11:34:56,267.5703,308.2617,1410.5508,12.675781
2019-07-12 11:34:55,267.5703,308.2617,1410.5508,12.675781
2019-07-12 11:34:54,267.5703,308.2617,1410.5508,12.675781
2019-07-12 11:34:53,267.5703,308.2617,1410.5508,12.675781
2019-07-12 11:34:52,267.5703,308.2617,1410.5508,12.675781
2019-07-12 11:34:51,267.5703,308.2617,1410.5508,12.675781
2019-07-12 11:34:50,267.5703,308.2617,1410.5508,12.675781
