time,netdata,apps.plugin,node.d.plugin,python.d.plugin,go.d.plugin,nfs,containers,ksmd,system,kernel,other
2019-07-12 11:46:15,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:14,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:13,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:12,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:11,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:10,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:09,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:08,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:07,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:06,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:05,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:04,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:03,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:02,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:01,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:00,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:59,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:58,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:57,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:56,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:55,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:54,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:53,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:52,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:51,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:50,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:49,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:48,15,1,0,3,9,32,59,1,170,126,34
