time,received,sent
2019-07-12 11:43:54,0,0
2019-07-12 11:43:53,0,0
2019-07-12 11:43:52,0,0
2019-07-12 11:43:51,0,0
2019-07-12 11:43:50,0,0
2019-07-12 11:43:49,0,0
2019-07-12 11:43:48,0,0
2019-07-12 11:43:47,2.180137,-1.510666
2019-07-12 11:43:46,4.827863,-3.345334
2019-07-12 11:43:45,0,0
2019-07-12 11:43:44,0,0
2019-07-12 11:43:43,0,0
2019-07-12 11:43:42,0,0
2019-07-12 11:43:41,0,0
2019-07-12 11:43:40,0,0
2019-07-12 11:43:39,0,0
2019-07-12 11:43:38,59.42524,-84.18938
2019-07-12 11:43:37,117.77645,-165.15354
2019-07-12 11:43:36,40.20991,-52.22029
2019-07-12 11:43:35,95.66516,-129.03874
2019-07-12 11:43:34,80.09016,-102.39977
2019-07-12 11:43:33,79.64537,-101.94392
2019-07-12 11:43:32,79.61135,-101.77926
2019-07-12 11:43:31,79.89706,-102.37955
2019-07-12 11:43:30,80.23702,-102.25947
2019-07-12 11:43:29,81.27302,-103.09032
2019-07-12 11:43:28,65.71623,-108.62218
2019-07-12 11:43:27,44.23216,-129.16297
2019-07-12 11:43:26,47.73353,-182.3959
2019-07-12 11:43:25,20.02269,-240.0872
2019-07-12 11:43:24,30.17936,-197.042
2019-07-12 11:43:23,17.3573,-56.21956
2019-07-12 11:43:22,0,0
2019-07-12 11:43:21,0,0
2019-07-12 11:43:20,0,0
2019-07-12 11:43:19,0,0
2019-07-12 11:43:18,0,0
2019-07-12 11:43:17,2.27367,-1.6187256
2019-07-12 11:43:16,4.55833,-3.245274
2019-07-12 11:43:15,0,0
2019-07-12 11:43:14,0,0
2019-07-12 11:43:13,0,0
2019-07-12 11:43:12,0,0
2019-07-12 11:43:11,0,0
2019-07-12 11:43:10,0,0
2019-07-12 11:43:09,0,0
2019-07-12 11:43:08,0,0
2019-07-12 11:43:07,0,0
2019-07-12 11:43:06,2.427013,-1.730739
2019-07-12 11:43:05,4.404987,-3.141261
2019-07-12 11:43:04,0,0
2019-07-12 11:43:03,0,0
2019-07-12 11:43:02,0,0
2019-07-12 11:43:01,0,0
2019-07-12 11:43:00,0,0
2019-07-12 11:42:59,0,0
2019-07-12 11:42:58,0,0
2019-07-12 11:42:57,0,0
2019-07-12 11:42:56,2.423451,-1.725361
2019-07-12 11:42:55,4.408549,-3.138639
2019-07-12 11:42:54,0,0
2019-07-12 11:42:53,0,0
2019-07-12 11:42:52,0,0
2019-07-12 11:42:51,0,0
2019-07-12 11:42:50,0,0
2019-07-12 11:42:49,0,0
2019-07-12 11:42:48,0,0
2019-07-12 11:42:47,0,0
2019-07-12 11:42:46,0,0
2019-07-12 11:42:45,0,0
2019-07-12 11:42:44,2.471589,-1.759632
2019-07-12 11:42:43,4.360411,-3.104368
2019-07-12 11:42:42,0,0
2019-07-12 11:42:41,0,0
2019-07-12 11:42:40,0,0
2019-07-12 11:42:39,0,0
2019-07-12 11:42:38,0,0
2019-07-12 11:42:37,0,0
2019-07-12 11:42:36,0,0
2019-07-12 11:42:35,0,0
2019-07-12 11:42:34,0,0
2019-07-12 11:42:33,0,0
2019-07-12 11:42:32,0,0
2019-07-12 11:42:31,0,0
2019-07-12 11:42:30,0,0
2019-07-12 11:42:29,2.573395,-1.832113
2019-07-12 11:42:28,4.258605,-3.031887
2019-07-12 11:42:27,0,0
2019-07-12 11:42:26,0,0
2019-07-12 11:42:25,0,0
2019-07-12 11:42:24,0,0
2019-07-12 11:42:23,0,0
2019-07-12 11:42:22,0,0
2019-07-12 11:42:21,0,0
2019-07-12 11:42:20,0,0
2019-07-12 11:42:19,0,0
2019-07-12 11:42:18,0,0
2019-07-12 11:42:17,0,0
2019-07-12 11:42:16,0,0
2019-07-12 11:42:15,0,0
2019-07-12 11:42:14,2.612813,-1.860176
